ID,Name,Category,Subcategory,Price,SKU,Primary Image,Secondary Image,Description,Details,Notes,Tags
1,Мыло Angel Dust,уход,Глицериновое мыло,1100,,"images/45700513.jpg.jpeg","images/45700513.jpg_1.jpeg","Натуральное глицериновое мыло с нежным ароматом. Деликатное очищение для чувствительной кожи. Увлажняющая формула сохраняет естественный баланс кожи.","Глицериновое мыло; 100% натуральный состав","Мягкий аромат; Увлажнение",
2,Набор саше,уход,,"1400,,"images/ab7f466a8113592db3ba4f76c8f0cfaa.jpg.jpeg","images/28475800.jpg.jpeg","Ароматические саше для дома и автомобиля. Комплект из нескольких видов с разными ароматами. Долгостойкий запах сохраняется до 6 недель.","Набор саше; Для дома и авто","Долгостойкость; Натуральные ароматы",
3,Troll,коллаборации,Smelly Tale × Gaze,3000,300,"images/c5c11ab33002019b986e5eed43823790.jpg.jpeg","images/9cba52ab5e3bd264c24c1d81066b78d7.jpg.jpeg","Уникальное ароматическое изделие в сотрудничестве Smelly Tale и Gaze. Специальная серия с интересным дизайном и оригинальным ароматическим профилем. Ограниченный выпуск.","Коллаборация Smelly Tale × Gaze; Ограниченный выпуск; Авторский дизайн","Амбра; Мускус; Восточные ноты",Коллаб
4,Шампунь Red Mercury,уход,Шампунь для волос 500 мл,3000,,"images/10131750.jpg.jpeg","images/10131750.jpg_1.jpeg","Профессиональный шампунь серии Red Mercury. Обогащён натуральными экстрактами и эфирными маслами. Придаёт волосам блеск и объём. Подходит для всех типов волос.","Шампунь 500 мл; Натуральные компоненты; Для всех типов волос","Восстановление; Блеск и объём",
5,Жидкое мыло Oyster,уход,Для рук и тела 500 мл,3000,,"images/12293916.jpg.jpeg","images/12293916.jpg_1.jpeg","Мягкое жидкое мыло серии Oyster. Превосходно очищает и увлажняет кожу. Деликатная формула с экстрактом жемчуга. Приятный аромат на весь день.","Жидкое мыло 500 мл; Для рук и тела; С экстрактом жемчуга","Мягкое очищение; Увлажнение",
6,Жидкое мыло Red Mercury,уход,Для рук и тела 500 мл,3000,,"images/13305597.jpg.jpeg","images/13305597.jpg_1.jpeg","Жидкое мыло серии Red Mercury с энергичным ароматом. Быстрое и эффективное очищение для кожи рук и тела. Питающая формула с натуральными ингредиентами.","Жидкое мыло 500 мл; Для рук и тела; Red Mercury","Энергичный аромат; Питание; Мягкая очистка",
7,Кондиционер Red Mercury,уход,Кондиционер для волос 500 мл,3500,,"images/42526944.jpg.jpeg","images/42526944.jpg_1.jpeg","Кондиционер серии Red Mercury для ухода после шампуня. Содержит витамины и масла, восстанавливающие структуру волос. Облегчает расчёсывание и придаёт мягкость.","Кондиционер 500 мл; Red Mercury; Восстанавливающий","Мягкость волос; Восстановление; Витамины и масла",
8,Лосьон Oyster,уход,Для рук и тела 500 мл,3500,,"images/34397284.jpg.jpeg","images/34397284.jpg_1.jpeg","Питательный лосьон серии Oyster для рук и тела. Быстро впитывается, оставляя кожу мягкой и увлажнённой. Содержит экстракт жемчуга и натуральные масла.","Лосьон 500 мл; Для рук и тела; Oyster","Питание; Увлажнение; Шелковистость",
9,Свеча Temple of Boxing,свеча,Gaze × Backyard,4400,560,"images/90c06c349f72e4c944e05997897fec7e.jpg.jpeg","images/a6909fd892a033085fe87424ec1a7a2f.jpg.jpeg","Ограниченный выпуск свечи в сотрудничестве с Backyard. Аромат вдохновлён тайским боксом и сочетает ладан, бергамот, лаванду и секретный зелёный ингредиент (разрешён в Таиланде). Долгостойкая свеча премиум-качества.","Коллаборация Gaze × Backyard; Ограниченный выпуск; Восточные ароматы; Свеча 200г","Ладан; Бергамот; Лаванда; Зелёные ноты",Коллаб
10,Лосьон Red Mercury,рефилл,Рефилл 5 литров,7500,,"images/3f641a35451effc99d4337841e743778.jpg.jpeg","images/3f641a35451effc99d4337841e743778.jpg_1.jpeg","Рефилл лосьона Red Mercury в большом объёме 5 литров. Идеален для салонов красоты и постоянных пользователей. Профессиональное качество по доступной цене. Быстрая доставка.","Рефилл 5 литров; Red Mercury; Для профессионального использования; Экономичный объём","Питание; Увлажнение; Восстановление",Рефилл
11,Кондиционер Red Mercury,рефилл,Рефилл 5 литров,7500,,"images/8e1f856d9d6bd177067e32ed80119ed8.jpg.jpeg","images/8e1f856d9d6bd177067e32ed80119ed8.jpg_1.jpeg","Рефилл кондиционера Red Mercury объёмом 5 литров. Профессиональное средство для восстановления волос. Экономичное решение для салонов и постоянного использования. Высокое качество гарантировано.","Рефилл 5 литров; Red Mercury; Для профессионального использования; Восстанавливающий","Восстановление; Мягкость; Витамины",Рефилл
